"Year","House","Senate"
1855,"Republican","Democrat"
1856,"Republican","Democrat"
1857,"Democrat","Democrat"
1858,"Democrat","Democrat"
1859,"Republican","Democrat"
1860,"Republican","Democrat"
1861,"Republican","Republican"
1862,"Republican","Republican"
1863,"Republican","Republican"
1864,"Republican","Republican"
1865,"Republican","Republican"
1866,"Republican","Republican"
1867,"Republican","Republican"
1868,"Republican","Republican"
1869,"Republican","Republican"
1870,"Republican","Republican"
1871,"Republican","Republican"
1872,"Republican","Republican"
1873,"Republican","Republican"
1874,"Republican","Republican"
1875,"Democrat","Republican"
1876,"Democrat","Republican"
1877,"Democrat","Republican"
1878,"Democrat","Republican"
1879,"Democrat","Democrat"
1880,"Democrat","Democrat"
1881,"Republican","Republican"
1882,"Republican","Republican"
1883,"Democrat","Republican"
1884,"Democrat","Republican"
1885,"Democrat","Republican"
1886,"Democrat","Republican"
1887,"Democrat","Republican"
1888,"Democrat","Republican"
1889,"Republican","Republican"
1890,"Republican","Republican"
1891,"Democrat","Republican"
1892,"Democrat","Republican"
1893,"Democrat","Democrat"
1894,"Democrat","Democrat"
1895,"Republican","Republican"
1896,"Republican","Republican"
1897,"Republican","Republican"
1898,"Republican","Republican"
1899,"Republican","Republican"
1900,"Republican","Republican"
1901,"Republican","Republican"
1902,"Republican","Republican"
1903,"Republican","Republican"
1904,"Republican","Republican"
1905,"Republican","Republican"
1906,"Republican","Republican"
1907,"Republican","Republican"
1908,"Republican","Republican"
1909,"Republican","Republican"
1910,"Republican","Republican"
1911,"Democrat","Republican"
1912,"Democrat","Republican"
1913,"Democrat","Democrat"
1914,"Democrat","Democrat"
1915,"Democrat","Democrat"
1916,"Democrat","Democrat"
1917,"Republican","Democrat"
1918,"Republican","Democrat"
1919,"Republican","Republican"
1920,"Republican","Republican"
1921,"Republican","Republican"
1922,"Republican","Republican"
1923,"Republican","Republican"
1924,"Republican","Republican"
1925,"Republican","Republican"
1926,"Republican","Republican"
1927,"Republican","Republican"
1928,"Republican","Republican"
1929,"Republican","Republican"
1930,"Republican","Republican"
1931,"Republican","Republican"
1932,"Republican","Republican"
1933,"Democrat","Democrat"
1934,"Democrat","Democrat"
1935,"Democrat","Democrat"
1936,"Democrat","Democrat"
1937,"Democrat","Democrat"
1938,"Democrat","Democrat"
1939,"Democrat","Democrat"
1940,"Democrat","Democrat"
1941,"Democrat","Democrat"
1942,"Democrat","Democrat"
1943,"Democrat","Democrat"
1944,"Democrat","Democrat"
1945,"Democrat","Democrat"
1946,"Democrat","Democrat"
1947,"Republican","Republican"
1948,"Republican","Republican"
1949,"Democrat","Democrat"
1950,"Democrat","Democrat"
1951,"Democrat","Democrat"
1952,"Democrat","Democrat"
1953,"Republican","Republican"
1954,"Republican","Republican"
1955,"Democrat","Democrat"
1956,"Democrat","Democrat"
1957,"Democrat","Democrat"
1958,"Democrat","Democrat"
1959,"Democrat","Democrat"
1960,"Democrat","Democrat"
1961,"Democrat","Democrat"
1962,"Democrat","Democrat"
1963,"Democrat","Democrat"
1964,"Democrat","Democrat"
1965,"Democrat","Democrat"
1966,"Democrat","Democrat"
1967,"Democrat","Democrat"
1968,"Democrat","Democrat"
1969,"Democrat","Democrat"
1970,"Democrat","Democrat"
1971,"Democrat","Democrat"
1972,"Democrat","Democrat"
1973,"Democrat","Democrat"
1974,"Democrat","Democrat"
1975,"Democrat","Democrat"
1976,"Democrat","Democrat"
1977,"Democrat","Democrat"
1978,"Democrat","Democrat"
1979,"Democrat","Democrat"
1980,"Democrat","Democrat"
1981,"Democrat","Republican"
1982,"Democrat","Republican"
1983,"Democrat","Republican"
1984,"Democrat","Republican"
1985,"Democrat","Republican"
1986,"Democrat","Republican"
1987,"Democrat","Democrat"
1988,"Democrat","Democrat"
1989,"Democrat","Democrat"
1990,"Democrat","Democrat"
1991,"Democrat","Democrat"
1992,"Democrat","Democrat"
1993,"Democrat","Democrat"
1994,"Democrat","Democrat"
1995,"Republican","Republican"
1996,"Republican","Republican"
1997,"Republican","Republican"
1998,"Republican","Republican"
1999,"Republican","Republican"
2000,"Republican","Republican"
2001,"Republican","Republican"
2002,"Republican","Republican"
2003,"Republican","Republican"
2004,"Republican","Republican"
2005,"Republican","Republican"
2006,"Republican","Republican"
2007,"Democrat","Republican"
2008,"Democrat","Republican"
2009,"Democrat","Democrat"
2010,"Democrat","Democrat"
2011,"Republican","Democrat"
2012,"Republican","Democrat"
2013,"Republican","Democrat"
2014,"Republican","Democrat"
2015,"Republican","Republican"
2016,"Republican","Republican"
2017,"Republican","Republican"
