"","Year","Party"
"1",1841,"Whig"
"2",1842,"Whig"
"3",1843,"Whig"
"4",1844,"Whig"
"5",1845,"Democrat"
"6",1846,"Democrat"
"7",1847,"Democrat"
"8",1848,"Democrat"
"9",1849,"Whig"
"10",1850,"Whig"
"11",1851,"Whig"
"12",1852,"Whig"
"13",1853,"Democrat"
"14",1854,"Democrat"
"15",1855,"Democrat"
"16",1856,"Democrat"
"17",1857,"Democrat"
"18",1858,"Democrat"
"19",1859,"Democrat"
"20",1860,"Democrat"
"21",1861,"Republican"
"22",1862,"Republican"
"23",1863,"Republican"
"24",1864,"Republican"
"25",1865,"National Union"
"26",1866,"National Union"
"27",1867,"National Union"
"28",1868,"National Union"
"29",1869,"Republican"
"30",1870,"Republican"
"31",1871,"Republican"
"32",1872,"Republican"
"33",1873,"Republican"
"34",1874,"Republican"
"35",1875,"Republican"
"36",1876,"Republican"
"37",1877,"Republican"
"38",1878,"Republican"
"39",1879,"Republican"
"40",1880,"Republican"
"41",1881,"Republican"
"42",1882,"Republican"
"43",1883,"Republican"
"44",1884,"Republican"
"45",1885,"Democrat"
"46",1886,"Democrat"
"47",1887,"Democrat"
"48",1888,"Democrat"
"49",1889,"Republican"
"50",1890,"Republican"
"51",1891,"Republican"
"52",1892,"Republican"
"53",1893,"Democrat"
"54",1894,"Democrat"
"55",1895,"Democrat"
"56",1896,"Democrat"
"57",1897,"Republican"
"58",1898,"Republican"
"59",1899,"Republican"
"60",1900,"Republican"
"61",1901,"Republican"
"62",1902,"Republican"
"63",1903,"Republican"
"64",1904,"Republican"
"65",1905,"Republican"
"66",1906,"Republican"
"67",1907,"Republican"
"68",1908,"Republican"
"69",1909,"Republican"
"70",1910,"Republican"
"71",1911,"Republican"
"72",1912,"Republican"
"73",1913,"Democrat"
"74",1914,"Democrat"
"75",1915,"Democrat"
"76",1916,"Democrat"
"77",1917,"Democrat"
"78",1918,"Democrat"
"79",1919,"Democrat"
"80",1920,"Democrat"
"81",1921,"Republican"
"82",1922,"Republican"
"83",1923,"Republican"
"84",1924,"Republican"
"85",1925,"Republican"
"86",1926,"Republican"
"87",1927,"Republican"
"88",1928,"Republican"
"89",1929,"Republican"
"90",1930,"Republican"
"91",1931,"Republican"
"92",1932,"Republican"
"93",1933,"Democrat"
"94",1934,"Democrat"
"95",1935,"Democrat"
"96",1936,"Democrat"
"97",1937,"Democrat"
"98",1938,"Democrat"
"99",1939,"Democrat"
"100",1940,"Democrat"
"101",1941,"Democrat"
"102",1942,"Democrat"
"103",1943,"Democrat"
"104",1944,"Democrat"
"105",1945,"Democrat"
"106",1946,"Democrat"
"107",1947,"Democrat"
"108",1948,"Democrat"
"109",1949,"Democrat"
"110",1950,"Democrat"
"111",1951,"Democrat"
"112",1952,"Democrat"
"113",1953,"Republican"
"114",1954,"Republican"
"115",1955,"Republican"
"116",1956,"Republican"
"117",1957,"Republican"
"118",1958,"Republican"
"119",1959,"Republican"
"120",1960,"Republican"
"121",1961,"Democrat"
"122",1962,"Democrat"
"123",1963,"Democrat"
"124",1964,"Democrat"
"125",1965,"Democrat"
"126",1966,"Democrat"
"127",1967,"Democrat"
"128",1968,"Democrat"
"129",1969,"Republican"
"130",1970,"Republican"
"131",1971,"Republican"
"132",1972,"Republican"
"133",1973,"Republican"
"134",1974,"Republican"
"135",1975,"Republican"
"136",1976,"Republican"
"137",1977,"Democrat"
"138",1978,"Democrat"
"139",1979,"Democrat"
"140",1980,"Democrat"
"141",1981,"Republican"
"142",1982,"Republican"
"143",1983,"Republican"
"144",1984,"Republican"
"145",1985,"Republican"
"146",1986,"Republican"
"147",1987,"Republican"
"148",1988,"Republican"
"149",1989,"Republican"
"150",1990,"Republican"
"151",1991,"Republican"
"152",1992,"Republican"
"153",1993,"Democrat"
"154",1994,"Democrat"
"155",1995,"Democrat"
"156",1996,"Democrat"
"157",1997,"Democrat"
"158",1998,"Democrat"
"159",1999,"Democrat"
"160",2000,"Democrat"
"161",2001,"Republican"
"162",2002,"Republican"
"163",2003,"Republican"
"164",2004,"Republican"
"165",2005,"Republican"
"166",2006,"Republican"
"167",2007,"Republican"
"168",2008,"Republican"
"169",2009,"Democrat"
"170",2010,"Democrat"
"171",2011,"Democrat"
"172",2012,"Democrat"
"173",2013,"Democrat"
"174",2014,"Democrat"
"175",2015,"Democrat"
"176",2016,"Democrat"
"177",2017,"Republican"
